Algorithm,Games,Wins,Draws,Losses,Win Rate (%),Draw Rate (%),Loss Rate (%),Runtime (s)
Pure MCTS,500,22,63,415,4.4,12.6,83.0,118.02519248300007
MCTS + Tree Reuse,500,34,58,408,6.8,11.6,81.6,119.50268231000007
